"Patty Mills",3700,SAS,PG/SG,CHI,32.5983,16.87314,21.66
"Jakob Poeltl",4100,SAS,C,CHI,36.1819,16.0728,18.1
"Marco Belinelli",3500,SAS,SG/SF,CHI,28.128,14.6688,19.2
"LaMarcus Aldridge",7900,SAS,PF/C,CHI,65.8385,28.938,45.5
"Rudy Gay",6400,SAS,SF/PF,CHI,40.3848,15.7684,31.6
"Bryn Forbes",4200,SAS,PG/SG,CHI,25.16892,10.59744,17.43
"DeMar DeRozan",8600,SAS,SG/SF,CHI,61.28704,21.42374,44.54
"Davis Bertans",3500,SAS,PF/C,CHI,32.49927,14.968,18.71
"Dante Cunningham",3600,SAS,SF/PF,CHI,24.3375,10.37102,12.98
"Dario Saric",4200,MIN,PF,PHO,36.5112,15.4896,27.66
"Karl-Anthony Towns",9800,MIN,C,PHO,67.85525,27.5457,50.45
"Derrick Rose",6000,MIN,PG/SG,PHO,45.25114,24.88523,28.97
"Robert Covington",5500,MIN,SF/PF,PHO,43.05509,18.8864,29.51
"Andrew Wiggins",6400,MIN,SG/SF,PHO,43.63856,18.80172,33.16
"Antonio Blakeney",3000,CHI,PG/SG,SAS,26.2033,12.6699,15.7
"Jeff Teague",6200,MIN,PG,PHO,47.0307,17.29365,33.45
"Derrick White",3800,SAS,PG/SG,CHI,34.6203,17.86785,21.45
"Chandler Hutchison",3000,CHI,SG/SF,SAS,12.95157,2.98412,12.23
"Joakim Noah",3200,MEM,C,HOU,18.8292,10.04445,11.05
"MarShon Brooks",3200,HOU,SG,MEM,12.83776,5.84896,8.32
"Omri Casspi",3100,MEM,SF/PF,HOU,15.2772,7.2993,8.7
"Shelvin Mack",3400,MEM,PG,HOU,31.08972,16.51196,20.36
"JaMychal Green",4600,MEM,SF/PF,HOU,37.8507,19.6213,22.45
"Jaren Jackson",5800,MEM,PF/C,HOU,29.484,7.956,26
"Marc Gasol",7500,MEM,C,HOU,52.82679,23.31417,39.99
"Kris Dunn",5200,CHI,PG/SG,SAS,34.50768,12.34542,24.79
"Ryan Arcidiacono",3500,CHI,PG,SAS,25.5636,10.4166,16.2
"Shaquille Harrison",3300,CHI,PG,SAS,14.50076,7.11872,9.08
"Robin Lopez",3100,CHI,C,SAS,19.43028,9.72,9.72
"Cameron Payne",3200,CHI,PG/SG,SAS,23.32776,11.89661,13.69
"Bobby Portis",5400,CHI,PF/C,SAS,50.54247,24.37109,26.87
"Wendell Carter",5200,CHI,PF/C,SAS,30.0947,9.4576,25.7
"Justin Holiday",5300,CHI,SG/SF,SAS,36.25,16.75,25
"Lauri Markkanen",5900,CHI,PF,SAS,44.3415,19.95675,30.75
"Tyus Jones",3100,MIN,PG,PHO,22.95621,12.20778,12.69
"Gorgui Dieng",3200,MIN,PF/C,PHO,21.27643,10.27702,13.63
"Tyrone Wallace",3200,LAC,PG/SG,OKC,8.97514,5.62,5.62
"Boban Marjanovic",3800,LAC,C,OKC,23.64137,11.82675,12.13
"Russell Westbrook",11200,OKC,PG,LAC,60.12387,18.16074,53.73
"Milos Teodosic",3000,LAC,PG,OKC,22.5834,10.4082,11.4
"Mike Scott",3400,LAC,SF/PF,OKC,24.10794,14.15844,12.06
"Montrezl Harrell",5600,LAC,PF/C,OKC,37.68968,19.6248,25.16
"Patrick Beverley",3600,LAC,PG/SG,OKC,50.84793,27.09,27.09
"Terrance Ferguson",3200,OKC,SG/SF,LAC,20.92428,8.7516,13.26
"Paul George",9200,OKC,SF/PF,LAC,62.83706,27.6627,44.98
"Patrick Patterson",3100,OKC,PF/C,LAC,16.92252,8.2134,9.72
"Alex Abrines",3000,OKC,SG/SF,LAC,19.69025,10.25,10.25
"Hamidou Diallo",3100,OKC,SG/SF,LAC,6.34375,1.13125,6.25
"Nerlens Noel",3300,OKC,C,LAC,27.8011,13.67557,16.07
"Dennis Schroder",5800,OKC,PG/SG,LAC,50.949,27.2061,33.3
"Jerami Grant",3900,OKC,PF,LAC,42.70848,18.29984,26.56
"Steven Adams",6500,OKC,C,LAC,43.85606,21.50696,32.39
"Marcin Gortat",3600,LAC,C,OKC,24.65595,10.098,16.83
"Tobias Harris",7000,LAC,SF/PF,OKC,50.61652,20.60597,38.23
"Josh Jackson",5500,PHO,SF/PF,MIN,45.59336,21.00038,32.66
"Mikal Bridges",3700,PHO,SG/SF,MIN,23.2407,4.90518,21.42
"Richaun Holmes",4000,PHO,PF/C,MIN,36.09144,14.68236,21.56
"Deandre Ayton",6900,PHO,C,MIN,34.21432,9.2876,29.96
